name;ra;dec;amplitude;beyond1std;fpr_mid20;fpr_mid35;fpr_mid50;fpr_mid65;fpr_mid80;linear_trend;max_slope;med_abs_dev;med_buf_range_per;pair_slope_trend;percent_amplitude;pdfp;skew;kurtosis;std;ls;rcorbor;magratio;data_num;object;dmjd
CSS120610:151843+155646;229.68105;15.946171;1.3;0.301003;0.149577;0.265626;0.3717;0.563379;0.805419;-0.000437;222.621185;0.26;1;0.366667;1.089296;1.186574;1.047307;1.330864;0.47509;10499.83672;0.016722;0.498328;299;AGN;56088
CSS120524:150319+211739;225.82913;21.294245;1.23;0.298507;0.131806;0.256424;0.425779;0.580914;0.750529;-0.000315;200.996678;0.25;1;0.433333;2.34195;1.119064;0.483707;0.468235;0.395942;10483.59156;0;0.488806;268;AGN;56071
CSS120516:154924+282633;237.351225;28.442627;1.185;0.328571;0.176448;0.295691;0.434273;0.602925;0.786785;-0.000436;373.493976;0.385;1;0.466667;1.398833;1.560046;0.48976;-0.43036;0.55512;0.99711;0;0.492857;140;AGN;56063
CSS120427:132429+474321;201.122149;47.722496;1.45;0.305085;0.167555;0.222926;0.337842;0.443186;0.724157;-0.00044;259.174312;0.45;1;0.5;2.872576;2.558666;-0.143298;-0.476486;0.671899;2.130374;0;0.491525;59;AGN;56044
CSS120401:160653+293815;241.721457;29.637344;0.950393;0.204082;0.181667;0.302524;0.528286;0.686785;0.870603;-0.000267;127.894336;0.232891;1;0.5;0.801837;0.818441;1.071606;1.071889;0.37929;3.137044;0;0.489796;49;AGN;56018
CSS120330:122115+100835;185.313678;10.143057;0.86;0.369231;0.191482;0.314962;0.49724;0.681217;0.83933;-0.000294;1404.761916;0.24;1;0.566667;0.721869;0.905426;0.387011;-0.137532;0.318676;3899.54896;0;0.492308;195;AGN;56016
CSS120329:124033+281647;190.137537;28.279752;1.675;0.326087;0.23057;0.360923;0.478095;0.636371;0.857045;-0.000571;237.762238;0.385;1;0.433333;3.873424;1.433653;0.350536;0.118509;0.570132;5195.78368;0.014493;0.5;138;AGN;56015
CSS120328:124526+232124;191.359858;23.356533;1.355;0.3;0.095982;0.205138;0.336042;0.517089;0.71746;-0.000349;267.759563;0.25;1;0.566667;1.964831;1.356798;0.54277;0.650656;0.442532;10395.85556;0.004545;0.472727;220;AGN;56014
CSS120328:121502+181552;183.759863;18.264468;1.365;0.345833;0.145603;0.249176;0.369217;0.603379;0.761288;-0.000473;365.269462;0.34;1;0.366667;2.133286;1.692772;0.448115;0.052076;0.555257;10479.7684;0;0.4875;240;AGN;56014
CSS120325:114230+161947;175.622964;16.329902;1.315;0.308176;0.128407;0.231344;0.373896;0.538434;0.731723;-0.000384;184.04908;0.265;1;0.5;1.546803;1.33965;0.39188;0.45733;0.42734;5241.88716;0.003145;0.5;318;AGN;56011
CSS120322:121251+305324;183.213537;30.890161;1.07;0.282609;0.116911;0.212214;0.373678;0.479794;0.702675;-0.000325;565.656565;0.28;1;0.5;1.208005;1.346831;0.572774;0.19578;0.443884;0.486059;0;0.48913;92;AGN;56008
CSS120322:125138+091529;192.908805;9.258237;1.22;0.333333;0.167163;0.289942;0.452719;0.591917;0.87014;-0.000436;226.244344;0.415;1;0.5;1.691506;1.817926;0.343002;-0.619007;0.586517;5138.15296;0;0.5;168;AGN;56008
CSS120321:123639+025456;189.16338;2.915173;1.42;0.330827;0.185968;0.311367;0.477788;0.628054;0.811024;-0.000203;3148.148185;0.33;1;0.533333;1.964831;1.298133;0.584218;0.268646;0.490376;656.973893;0.007519;0.496241;266;AGN;56007
CSS120317:135856+120822;209.73541;12.139478;1.305;0.338235;0.156485;0.28572;0.417991;0.572229;0.814861;-0.00045;226.452906;0.37;1;0.433333;1.951178;1.657583;0.219395;-0.545119;0.581633;0.997467;0;0.5;68;AGN;56003
CSS120316:144342-074042;220.924404;-7.678462;1.37;0.255034;0.132724;0.237457;0.333845;0.468399;0.793192;-0.000623;386.27451;0.32;1;0.4;1.679168;1.717936;0.772211;0.492045;0.591622;10415.49604;0.04698;0.496644;149;AGN;56002
CSS120315:093317+022119;143.321818;2.354969;1.245;0.277778;0.135893;0.279247;0.431668;0.55784;0.771181;-0.00016;257.975035;0.385;1;0.466667;1.630156;1.519832;0.377845;-0.149679;0.526098;0.611924;0;0.5;90;AGN;56001
CSS120304:120846-183624;182.191822;-18.60644;0.58;0.422535;0.120554;0.233541;0.539215;0.711635;0.896255;-0.000346;273.68421;0.22;1;0.5;0.870682;1.090244;-0.394781;-1.031094;0.329924;0.997611;0;0.478873;71;AGN;55990
CSS120303:103329+554946;158.369308;55.829452;1.585887;0.454545;0.156145;0.274721;0.569347;0.67118;0.790554;-0.001234;149.197549;0.63187;1;0.566667;4.135993;3.061652;-0.236327;-1.010497;0.827774;0.997646;0;0.484848;33;AGN;55989
CSS120227:132201+095936;200.504101;9.993262;1.382447;0.311111;0.15371;0.278525;0.459786;0.503973;0.640491;-0.000657;150.153785;0.434985;1;0.5;2.43248;1.902692;0.114666;-0.30562;0.582407;0.852356;0;0.488889;45;AGN;55985
CSS120226:123858+265524;189.741387;26.92342;1.225;0.325581;0.148197;0.281133;0.404341;0.62196;0.818299;-0.000527;728.323698;0.3;1;0.433333;1.831392;1.440639;0.457355;-0.035607;0.505671;10471.44504;0;0.496124;129;AGN;55984
CSS120225:114846+234303;177.191904;23.717435;1.515;0.323232;0.236866;0.411838;0.547361;0.682308;0.845128;-0.000469;232.273839;0.41;0.993266;0.466667;1.355049;1.402402;0.671083;0.538271;0.52431;3501.27376;0.010101;0.491582;297;AGN;55983
CSS120225:114542+084559;176.423637;8.766438;1.235;0.296875;0.156137;0.295615;0.423956;0.581817;0.797079;-0.000186;279.545455;0.33;1;0.5;1.523454;1.438337;0.568036;0.003977;0.505652;0.297591;0;0.5;192;AGN;55983
CSS120225:094557+065624;146.4869;6.940192;1.115;0.382353;0.176096;0.323996;0.467566;0.700524;0.84425;-0.000429;381.443299;0.38;1;0.433333;1.128139;1.472634;0.466226;-0.521713;0.528624;3681.625987;0;0.488235;170;AGN;55983
CSS120223:085539+382913;133.91328;38.486901;1.120292;0.323077;0.21129;0.307113;0.401016;0.595037;0.819124;-0.00036;224.300667;0.30828;1;0.466667;1.906723;1.414728;0.071502;-0.262522;0.469569;1.204141;0;0.492308;65;AGN;55981
CSS120222:113421-035752;173.587643;-3.964229;1.255;0.293413;0.149427;0.282819;0.421036;0.605955;0.801493;-0.000352;219.931272;0.28;1;0.4;1.269865;1.232971;0.799393;0.448191;0.464701;0.997131;0.005988;0.491018;167;AGN;55980
CSS120220:143714+064758;219.30868;6.799536;1.395;0.365079;0.215668;0.370444;0.498636;0.674123;0.970931;-0.000337;402.366864;0.42;1;0.5;3.405549;1.422828;-0.016085;-0.229943;0.580049;0.997609;0;0.492063;63;AGN;55978
CSS120219:104223+395925;160.595295;39.990243;0.975;0.291667;0.165782;0.310576;0.401424;0.559469;0.750797;-0.000286;249.077491;0.225;1;0.5;0.879297;1.012602;0.668411;0.132313;0.371686;4775.523;0;0.5;240;AGN;55977
