objID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
1237648675605053923,19.50257,18.67121,18.17783,17.84373,17.6098
1237648673995424521,23.76787,21.90085,19.91478,19.28862,18.86818
1237648675067986449,22.76727,20.76358,19.87278,19.3551,19.03435
1237648674534523043,21.6367,19.29462,18.28314,17.85252,17.39575
1237648675069035049,21.0185,19.49733,18.68755,18.35856,18.0441
1237648675069296857,20.28142,18.33463,17.45431,17.03332,16.68479
1237648675069297171,21.74068,19.70464,18.57042,18.06729,17.62097
1237648673994899569,21.69662,20.4705,19.79577,19.4291,19.15317
1237648675069493953,21.21862,19.88828,19.24222,19.03896,18.78112
1237648674534523444,21.23382,19.55383,18.64754,18.25848,17.86768
1237648675069559337,21.77487,19.83816,18.91899,18.42462,18.05048
1237648675069559475,21.41569,19.33205,18.49049,18.11543,17.8255
1237648674534719840,19.54316,17.68017,16.85735,16.41408,16.0492
1237648675069559581,22.95571,21.20265,19.63462,19.09123,18.66047
1237648675069821123,21.12053,19.02753,18.15595,17.77761,17.38118
1237648675069887059,22.2656,20.67797,20.00629,19.65388,19.17683
1237648675069952782,19.9524,18.0147,17.18225,16.81423,16.34155
1237648675070017789,20.29782,18.59029,17.76685,17.36822,16.93822
1237648675066282222,21.69498,19.69256,18.65209,18.17737,17.65045
1237648675066282315,20.97628,19.28539,18.42553,18.03788,17.60991
1237648673993130415,21.31335,20.08912,19.43586,19.17166,19.0552
1237648673993130265,21.53015,19.8028,18.6615,18.20665,17.82625
1237648675066413595,21.93622,20.38215,19.40022,18.94193,18.43765
1237648674533016216,20.96315,19.80872,19.34823,19.02011,18.5688
1237648675605184926,20.7891,19.5646,19.10226,18.75382,18.53849
1237648675605250186,20.85083,19.89791,19.39031,19.00758,18.84046
1237648673992737380,24.60257,22.0568,20.35864,19.50659,19.09843
1237648675603153394,23.02727,20.74856,19.16655,18.5382,18.12149
1237648674533016287,20.56709,18.53097,17.64694,17.24587,16.74068
1237648674531640013,21.96855,20.79547,19.96531,19.59387,19.19521
1237648675068051854,21.59735,19.49974,18.36981,17.88783,17.36884
1237648675605250531,21.23618,19.9068,19.06569,18.5595,18.21441
1237648675066610330,21.65614,20.6029,19.87913,19.47107,18.99183
1237648675603153749,25.05745,22.50612,20.62581,19.78418,19.42556
1237648675066610791,25.18601,21.98566,20.14445,19.40461,18.95641
1237648674531771067,24.93191,21.89589,20.05481,19.40508,18.98313
1237648675603218728,21.68843,19.54516,18.37509,17.83012,17.33268
1237648674531836458,21.22845,19.89836,18.90977,18.47696,18.05716
1237648675605381412,21.34811,19.74946,18.6485,18.13367,17.77309
1237648674532098608,20.70299,18.70983,17.77122,17.35457,16.97988
1237648674532098725,21.13901,19.93821,19.00888,18.52988,18.15134
1237648674532229982,22.32753,20.71934,19.66732,19.28992,18.91941
1237648702968103032,20.03749,18.7324,17.92798,17.55065,17.26152
1237648675603218762,21.3322,19.46499,18.38944,17.86206,17.4692
1237648675605381419,20.92738,20.08944,19.62062,19.3688,19.19052
1237648674533082590,24.00278,22.44419,20.75884,20.10737,19.53623
1237648675605381513,20.68028,19.2864,18.44231,17.96996,17.66456
1237648674532491713,21.11445,20.07656,19.24056,18.87813,18.43933
1237648673456194098,23.6662,21.47215,19.71275,19.04499,18.64579
1237648672924107240,21.78718,20.16579,19.08183,18.56082,18.10766
1237648675067134282,20.85032,19.539,18.69388,18.30162,17.99965
1237648675603546980,23.49708,22.0047,20.05579,19.34519,18.9813
1237648675603611961,21.81548,19.80862,18.54646,18.01104,17.56412
1237648675605381519,21.52348,19.67469,18.5228,17.9988,17.59386
1237648675067134405,20.52091,19.49508,18.77611,18.48918,18.22461
